file: /home/mohammad/vllm/nvidia_Qwen3.6-35B-A3B-NVFP4/bench-results/qwen36-20260626-143731.json
concurrency	generation_tps	peak_tps	e2e_ttft_s
1	31.007	32.000	827.040
2	59.223	62.000	1248.756
4	103.753	120.000	1020.399
6	146.201	174.000	1281.065
8	204.765	232.000	1796.973
10	237.184	290.000	1427.325
12	153.301	278.000	2241.948
16	184.101	280.000	3445.363
26	180.545	290.000	6715.839
32	161.646	290.000	9053.412

Best generation throughput: 237.18437512423824 tok/s at concurrency 10
