file: /home/mohammad/vllm/nvidia_Qwen3.6-35B-A3B-NVFP4/bench-results/qwen36-20260626-162928.json
concurrency	generation_tps	peak_tps	e2e_ttft_s
1	30.694	32.000	180.945
2	59.232	62.000	275.605
4	114.499	120.000	779.331
6	154.874	180.000	916.838
8	199.790	240.000	1116.765
10	202.518	290.000	2964.491
12	151.124	290.000	2223.732
16	189.356	290.000	3259.263
26	192.752	280.000	6357.587
32	183.902	280.000	7770.451

Best generation throughput: 202.51784327110173 tok/s at concurrency 10
