file: /home/mohammad/vllm/RedHatAI_qwen3.6-35B-A3B-NVFP4/bench-results/qwen36-20260617-151546.json
concurrency	generation_tps	peak_tps	e2e_ttft_s
1	43.415	44.000	161.999
2	88.313	92.000	321.574
4	144.272	156.000	327.501
6	160.506	192.000	483.340
8	219.703	272.000	629.006
10	197.861	240.000	747.629
12	162.111	250.000	1757.352
16	177.638	250.000	3211.998
26	183.797	250.000	6375.766
32	176.899	250.000	8264.603

Best generation throughput: 219.70294615430814 tok/s at concurrency 8
