file: /home/mohammad/vllm/qwen3.6-35B-A3B-NVFP4/bench-results/qwen36-20260614-164842.json
concurrency	generation_tps	peak_tps	e2e_ttft_s
1	43.344	44.000	133.605
2	85.071	90.000	213.423
4	141.046	152.000	323.652
6	114.486	152.000	1567.934
8	136.282	156.000	2279.097
10	120.631	160.000	3386.796
12	135.299	160.000	4212.416
16	133.720	160.000	6129.254
26	126.913	160.000	11015.710
32	132.414	156.000	13886.793

Best generation throughput: 141.04637435141788 tok/s at concurrency 4
